Timestamp of Report (GMT),Timestamp of Report (Local Time),Latitude,Longitude,Weather,Number of Photos Added,Ambient Audio (dB),Ambient Audio Description,Number of Steps,"What did you learn today?","Who are you with?","How many coffees did you have today?","Are you working?","How did you sleep?","Where are you?","What are you doing?","How does your stomach feel?","Choose intervention"
2018-07-22T14:43:39Z,"July 22, 2018 10:00:00am","","","","0","","","-1",,,,,,,,"Distracting",
2018-07-22T15:53:48Z,"July 22, 2018 11:00:00am","","","","0","","","-1",,,,,,,"Household chores","Noticeable",
2018-07-22T16:09:13Z,"July 22, 2018 12:00:00pm","","","","0","","","-1",,,,,,,"Household chores","Noticeable","Exercise"
2018-07-22T17:34:56Z,"July 22, 2018 01:00:00pm","","","","0","","","-1",,,,,,,"QS work","Noticeable","Exercise"
2018-07-22T18:37:26Z,"July 22, 2018 02:00:00pm","","","","0","","","-1",,,,,,,"QS work","Noticeable","Exercise"
2018-07-22T20:20:11Z,"July 22, 2018 04:00:00pm","","","","0","","","-1",,,,,,,"QS work","Noticeable","Exercise"
2018-07-22T22:11:58Z,"July 22, 2018 06:00:00pm","","","","0","","","-1",,,,,,,"Eating dinner","Noticeable","Exercise"
2018-07-22T23:08:58Z,"July 22, 2018 07:00:00pm","","","","0","","","-1",,,,,,,"ToDos","Noticeable","Exercise"
2018-07-22T23:53:09Z,"July 22, 2018 07:00:00pm","","","","0","","","-1",,,,,,,"QS work","Noticeable",
2018-07-23T00:48:41Z,"July 22, 2018 08:00:00pm","","","","0","","","-1",,,,,,,"QS work","Distracting",
2018-07-23T01:45:29Z,"July 22, 2018 09:00:00pm","","","","0","","","-1",,,,,,,"Evening reading","Noticeable",
2018-07-23T01:45:42Z,"July 22, 2018 09:00:00pm","","","","0","","","-1",,,,,,,,,
2018-07-23T10:23:19Z,"July 23, 2018 06:00:00am","","","","0","","","-1",,,,,"Ok",,,,
2018-07-23T10:23:28Z,"July 23, 2018 06:00:00am","","","","0","","","-1",,,,,,,,"Distracting","Exercise"
2018-07-23T11:00:26Z,"July 23, 2018 07:00:00am","","","","0","","","-1",,,,,,,,"Noticeable",
2018-07-23T11:20:42Z,"July 23, 2018 07:00:00am","","","","0","","","-1",,,,,,,,"Noticeable","Exercise"
